Account,Rekening,
Account Name,Account Naam,
Account Type,Account Type,
Accounting,Boekhouding,
Accounts Manager,Rekeningbeheerder,
Accounts User,Rekeninggebruiker,
Action,Actie,
Action Type,Actietype,
Actions,Acties,
Active,Actief,
Activity Type,Activiteit Type,
Add,Toevoegen,
Additional Details,Aanvullende Details,
Additional Information,Aanvullende Informatie,
Additional Notes,Extra Notities,
Address,Adres,
Address HTML,Adres HTML,
Address Line 1,Adres Lijn 1,
Address Line 2,Adres Lijn 2,
Address and Contact,Adres en Contactgegevens,
Admin,Beheerder,
Administration,Administratie,
Advanced,Geavanceerd,
Age,Leeftijd,
Agreement Details,Overeenkomst Details,
All,Allemaal,
Amended From,Gewijzigd Van,
Amount,Bedrag,
Analytics,Analytics,
Annual,Jaarlijks,
Application Date,Aanvraagdatum,
Application Status,Aanvraagstatus,
Applied,Toegepast,
Applied On,Toegepast Op,
Approval Required,Goedkeuring Vereist,
Approval Status,Goedkeuringsstatus,
Approve,Goedkeuren,
Approved,Aangenomen,
Approved Date,Goedgekeurde Datum,
Approver,Goedkeurder,
Archived,Gearchiveerd,
Assigned By,Toegewezen Door,
Assigned To,Toegewezen Aan,
Assignments,Toewijzingen,
Attachments,Bijlagen,
Average,Gemiddelde,
Bank,Bank,
Bank Account,Bankrekening,
Bank Details,Bankgegevens,
Bank Name,Banknaam,
Bank Transaction,Bankoverschrijving,
Basic,Basis,
Batch,Partij,
Batch Description,Batch Beschrijving,
Batch Details,Batchgegevens,
Batch Size,Seriegrootte,
Beginner,Beginner,
Belgium,Belgium,
Billing,Facturering,
Billing Frequency,Factureringsfrequentie,
Birth Date,Geboortedatum,
Blocked,Geblokkeerd,
Both,Beide,
Bulk Update,Bulkupdate,
CRM,CRM,
CSV,CSV,
Calendar,Agenda,
Call,Bellen,
Campaign,Campagne,
Campaign Name,Campagnenaam,
Cancel,Annuleren,
Cancelled,Geannuleerd,
Cash,Contant,
Category,Categorie,
Category Name,Categorienaam,
Chapter,Afdeling,
Chapter Head,Afdeling Hoofd,
Chapter Member,Afdeling Lid,
